metadata_group,metadata_name,metadata_value
stage,stage_name,Stage 2 follow-up maturity
stage,stage_role,Describe follow-up maturity before any cure claim
stage,model_fitting_allowed,FALSE
stage,patch_level,patched_user_specified_paths_preferred_site_adjusted_reporting_v7
inputs,data_path_resolved,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments
inputs,data_path_configuration_rule,Use the user-specified data_path directly; do not auto-resolve from project root or legacy paths.
inputs,stage1_analysis_datasets_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_analysis_datasets.rds
inputs,stage1_backbone_bundle_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_backbone_bundle.rds
inputs,stage1_scaling_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_scaling_registry.csv
inputs,stage1_horizon_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_horizon_registry.csv
inputs,stage1_threshold_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_threshold_registry.csv
inputs,stage1_metadata_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_metadata_registry.csv
inputs,stage1_dataset_registry_file,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments/stage1_dataset_registry.csv
time,analysis_time_variable,days_followup / time_year
time,horizon_vector_year,"1,2,3,4,5,6,7,8,9,10"
time,plot_grid_year,"0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10"
time,threshold_vector_from_stage1,"0.05,0.10,0.15,0.20"
summaries,main_transition_only_rule,"transition_only = status_num == 1 as event; status_num %in% c(0,2) as censoring"
summaries,remission_sensitive_rule,"remission_sensitive = status_num %in% c(1,2) as informative terminal outcomes; status_num == 0 as censoring"
summaries,reverse_km_note,Reverse KM is descriptive of follow-up maturity and should not be over-interpreted as a direct follow-up-rate estimator.
