metadata_group,metadata_name,metadata_value
stage,stage_name,Stage 1 backbone lock
stage,stage_role,Freeze one common comparison backbone only
stage,model_fitting_allowed,FALSE
documents,canonical_common_rules,2.General Model Specifications_🇬🇧ENG.md
documents,canonical_framework,5.Model Specification Framework_🇬🇧ENG.md
identification,unique_person_id_rule,site + id
time,analysis_time_variable,days_followup
time,reporting_time_variable,time_year = days_followup / 365.25
event,event_definition,status_num == 1
event,main_censoring_definition,"status_num %in% c(0, 2)"
covariates,age_variable,age_exact_entry
covariates,age_scaling_rule,(age_exact_entry - mean(age_exact_entry)) / (2 * sd(age_exact_entry))
horizons,horizon_vector,"1,2,3,4,5,6,7,8,9,10"
horizons,horizon_rule,Fixed to 1:10 in Stage 1
thresholds,threshold_vector,"0.05,0.10,0.15,0.20"
thresholds,threshold_edit_rule,Edit `risk_thresholds` near the top of the script if needed
interpretation,site_effect_interpretation_rule,"Interpret site as a proxy for broader treatment context, care pathway, selection, or follow-up structure."
interpretation,remission_reanalysis_note,"Dedicated remission-sensitive reanalysis belongs to a later sensitivity stage, not Stage 1."
outputs,save_folder_rule,Write all outputs into one `export_path` folder without creating extra subfolders.
inputs,data_path,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧0.생존 데이터 처리와 요약/🟦2.데이터3 처리/attachments
inputs,export_path,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧1.데이터 분석 New/🟦Stage1/attachments
inputs,merged_source,/Volumes/ObsidianVault/Obsidian/☔️Papers_Writing(논문 쓰기)/📙Currently working/⬛조현병 베이지안 생존분석/🟧0.생존 데이터 처리와 요약/🟦2.데이터3 처리/attachments/MERGED_dataset3_pnu_snu.csv
inputs,pnu_source,derived_from_merged:PNU
inputs,snu_source,derived_from_merged:SNU
